model,cv_rmse_trans,cv_rmse_trans_sd
Ridge_alpha10,0.3091640484700012,0.021152933230907167
Ridge_alpha1,0.30920892719649323,0.020930023317613042
OLS_multioutput,0.3092186857032751,0.020903720112951444
PLS2_2comp,0.3134265246898427,0.025136285138833057
PLS2_1comp,0.343708850088223,0.03339280623212411
