obs_index,t2,q_spe,base_rmse_trans,loo_rmse_trans,rmse_change,coef_l2_diff
21,77.45596626834262,8.123118300105652,0.31137223673781134,0.3114104948534788,3.8258115667488823e-05,0.005835755789976766
195,76.81734176884032,10.141974006537678,0.31137223673781134,0.31096112850788554,-0.000411108229925794,0.005339281419610912
194,53.20528724850939,3.1095298770343094,0.31137223673781134,0.3110276964752382,-0.0003445402625731342,0.003849232548862548
582,37.88508137429236,3.362624375026672,0.31137223673781134,0.3114580038516244,8.576711381308444e-05,0.00179079465356674
547,33.376976601459944,3.5020565886277413,0.31137223673781134,0.3113792494632551,7.0127254437890585e-06,0.0031486831509897543
469,29.830363930001816,4.210531343322169,0.31137223673781134,0.310689290179438,-0.0006829465583733096,0.003937499265176585
580,26.800918209655848,2.842210848108168,0.31137223673781134,0.31104761611948534,-0.0003246206183259992,0.0029220262260361263
349,24.59588794098895,13.704698618722443,0.31137223673781134,0.3114777846524732,0.0001055479146618854,0.0016412632559538263
543,24.574561429558067,2.9363608009885978,0.31137223673781134,0.31110145400351563,-0.00027078273429570476,0.0038213983432904145
371,23.3757435596876,2.1977062683809803,0.31137223673781134,0.3109906237974236,-0.0003816129403877433,0.0028189806219733105
